Soil_Moisture(%),Temperature(°C),Humidity(%),Rainfall(mm),Crop_Type,Water_Needed(L/m²)
28.727005942368123,30.953614209304348,71.90886421823167,131.5738736431029,Soybean,10.8
57.53571532049581,26.482311338354826,81.67713125674217,136.075866017694,Soybean,0.0
46.59969709057025,39.11246312159852,52.42259127653007,56.75584826331607,Rice,51.88
39.93292420985183,20.474461274605954,40.24251121713853,34.74460835266935,Soybean,21.66
17.800932022121827,29.696410399973516,42.319260204882305,28.749157628614203,Soybean,43.59
17.799726016810133,32.50525037475556,68.78637808550758,132.29296435416592,Wheat,9.56
12.904180608409973,35.63911223363454,59.72906237940473,34.68337837807409,Soybean,41.32
53.308807288746756,25.174275760700176,54.054589168408,79.62585702037765,Rice,33.65
40.05575058716044,32.173047691437034,34.19418551433218,49.760892461794484,Soybean,39.96
45.40362888980228,22.580036784607067,81.28189812492323,74.84031574647261,Wheat,0.0
11.029224714790121,25.886902309045507,74.67143132551843,51.865052756130396,Maize,38.69
58.49549260809972,37.390678280084984,29.84470212174607,43.942307409954445,Maize,34.08
51.622132040021086,38.74769023327386,45.717191822149566,64.09845019187634,Maize,28.15
20.61695553391381,32.97043367318162,57.94924655472239,49.93883050790348,Rice,59.85
19.09124836035503,24.358797269404626,51.803703594007246,125.95369568642965,Rice,47.46
19.17022549267169,35.5014447493666,47.84570871164169,87.09849155223837,Rice,60.12
25.212112147976885,15.646677043135504,70.31823282923705,26.42505413091652,Rice,49.83
36.2378215816119,17.568647763485526,23.815245296648623,35.39185494695282,Soybean,30.32
31.597250932105787,31.53434340938403,52.99872373881593,8.03302464836237,Soybean,43.5
24.561457009902096,22.281214381751436,38.3527183272721,44.953295020082514,Soybean,39.54
40.59264473611897,38.78465546001195,25.923286966433125,100.4277236811208,Soybean,38.23
16.97469303260209,25.90151530230762,52.542101060207585,27.443755486284545,Maize,47.85
24.60723242676091,25.734120509729426,31.995808374939813,14.88035353131793,Maize,47.73
28.318092164684586,31.95198775477328,38.075699732314604,48.152307908692364,Rice,59.03
32.8034992108518,34.18921405765474,55.490611065705316,91.87833502357321,Maize,33.97
49.25879806965068,26.888968453128413,88.1596285952975,70.91700686610886,Rice,25.52
19.98368910791799,20.350022542793106,67.89785047624892,49.82853922072475,Rice,51.2
35.71172192068058,34.33271606814054,39.57352587097773,132.44276369007108,Maize,28.37
39.620728443102124,23.00878187184069,46.768423680276356,70.28365462684046,Maize,30.76
12.322520635999886,19.377769232346438,48.429320662468406,68.25700057465536,Soybean,29.03
40.37724259507192,30.79100474812533,30.754633634106398,4.748513661813697,Wheat,34.17
18.526206184364575,17.26134167475876,31.245793220177653,95.90142473689053,Wheat,16.4
13.252579649263975,39.283816877151374,30.387630644115514,68.90173267518531,Maize,53.29
57.44427686266666,30.809931610303423,56.51648964158418,21.76157082080853,Soybean,27.77
58.28160165372797,39.647388023043895,67.19302607177957,36.56087730089773,Wheat,15.35
50.419867405823055,23.4723355869659,61.350447922757866,30.354559767650564,Wheat,5.67
25.230688458668535,39.28012902975995,88.44370298173439,18.31473313885235,Maize,41.59
